Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,32.820000,33.009998,32.580002,32.669998,32.669998,553800
2022-02-22,31.740000,32.130001,31.059999,31.549999,31.549999,999800
2022-02-23,31.780001,32.200001,30.870001,31.030001,31.030001,898500
2022-02-24,27.990000,29.379999,27.520000,29.360001,29.360001,1422900
2022-02-25,30.299999,31.000000,30.270000,30.799999,30.799999,1540000
2022-02-28,30.059999,30.570000,29.950001,30.290001,30.290001,527000
2022-03-01,29.940001,30.120001,28.590000,28.799999,28.799999,975500
2022-03-02,28.990000,29.980000,28.990000,29.889999,29.889999,989600
2022-03-03,28.940001,29.270000,27.879999,28.080000,28.080000,900100
2022-03-04,26.240000,26.650000,25.719999,26.330000,26.330000,3457300
2022-03-07,25.559999,25.840000,24.600000,24.750000,24.750000,1424000
2022-03-08,25.000000,25.680000,24.500000,24.900000,24.900000,2025500
2022-03-09,26.540001,26.910000,26.139999,26.639999,26.639999,1818900
2022-03-10,26.430000,26.860001,25.910000,26.120001,26.120001,1970600
2022-03-11,27.620001,27.639999,26.120001,26.200001,26.200001,2301600
2022-03-14,26.360001,26.700001,25.469999,25.770000,25.770000,2369000
2022-03-15,26.469999,27.770000,26.469999,27.600000,27.600000,1279000
2022-03-16,27.830000,28.459999,27.500000,28.459999,28.459999,996100
2022-03-17,28.010000,28.330000,27.709999,28.080000,28.080000,2882900
2022-03-18,28.000000,28.600000,27.879999,28.590000,28.590000,641300
2022-03-21,27.780001,27.889999,27.520000,27.820000,27.820000,416100
2022-03-22,28.770000,29.160000,28.530001,28.610001,28.610001,1333200
2022-03-23,28.049999,28.570000,28.049999,28.150000,28.150000,608500
2022-03-24,28.330000,28.650000,28.170000,28.580000,28.580000,685600
2022-03-25,28.330000,28.410000,28.000000,28.400000,28.400000,505700
2022-03-28,28.440001,28.700001,28.270000,28.540001,28.540001,329900
2022-03-29,28.990000,29.590000,28.990000,29.150000,29.150000,1183500
2022-03-30,28.690001,28.780001,28.030001,28.250000,28.250000,868000
2022-03-31,28.170000,28.340000,27.950001,27.950001,27.950001,1051700
2022-04-01,28.680000,29.230000,28.629999,29.219999,29.219999,710600
2022-04-04,29.530001,29.740000,29.410000,29.690001,29.690001,440700
2022-04-05,30.000000,30.330000,29.340000,29.510000,29.510000,1106200
2022-04-06,29.510000,29.820000,29.370001,29.650000,29.650000,1256000
2022-04-07,29.250000,29.510000,28.600000,29.219999,29.219999,2089200
2022-04-08,29.309999,30.459999,29.230000,30.150000,30.150000,1163200
2022-04-11,29.570000,29.850000,29.250000,29.320000,29.320000,824800
2022-04-12,28.870001,28.990000,28.200001,28.309999,28.309999,796700
2022-04-13,28.049999,28.139999,27.889999,27.980000,27.980000,534300
2022-04-14,27.910000,27.990000,27.580000,27.750000,27.750000,837000
2022-04-18,27.920000,28.730000,27.920000,28.549999,28.549999,434000
2022-04-19,27.639999,28.250000,27.570000,28.190001,28.190001,568300
2022-04-20,28.940001,29.170000,28.690001,28.830000,28.830000,480100
2022-04-21,29.350000,29.590000,28.900000,28.910000,28.910000,413100
2022-04-22,28.500000,28.610001,27.920000,28.090000,28.090000,447400
